scenario,seed,method,mc_revenue,analytical_R
6,1,GA,86222.8719,70966.1408
6,2,random_valid,84697.7993,70189.0615
6,2,perimeter_only,84690.8038,69012.1935
6,2,popularity_rank,84911.3864,70358.2510
6,2,greedy_swap,84674.9464,70683.7555
6,2,oracle,85313.2396,72152.0973
6,2,random_search,85861.8013,70812.9705
6,2,simulated_annealing,85220.6636,70798.9673
6,2,GA,86547.5283,71042.9309
6,3,random_valid,83966.4636,70189.0615
6,3,perimeter_only,83893.9180,69012.1935
6,3,popularity_rank,83749.4897,70358.2510
6,3,greedy_swap,83974.6774,70683.7555
6,3,oracle,84213.1377,72152.0973
6,3,random_search,84883.8077,69443.2147
6,3,simulated_annealing,85032.5067,70210.1794
6,3,GA,85400.6285,70968.3435
6,4,random_valid,84503.3865,70189.0615
6,4,perimeter_only,84510.4534,69012.1935
6,4,popularity_rank,84846.3672,70358.2510
6,4,greedy_swap,85137.1667,70683.7555
6,4,oracle,85661.1678,72152.0973
6,4,random_search,85632.5725,70375.2605
6,4,simulated_annealing,85228.4325,70920.1598
6,4,GA,85717.4351,71291.8610
6,5,random_valid,85063.9948,70189.0615
6,5,perimeter_only,84617.1662,69012.1935
6,5,popularity_rank,84405.2226,70358.2510
6,5,greedy_swap,85016.7105,70683.7555
6,5,oracle,85195.0371,72152.0973
6,5,random_search,86280.9303,70714.2108
6,5,simulated_annealing,85848.6184,70749.9431
6,5,GA,86043.6973,70777.1328
6,6,random_valid,84080.7212,70189.0615
6,6,perimeter_only,84289.7399,69012.1935
6,6,popularity_rank,84167.7158,70358.2510
6,6,greedy_swap,84709.5138,70683.7555
6,6,oracle,83845.3185,72152.0973
6,6,random_search,85771.3549,70541.5482
6,6,simulated_annealing,85387.1361,70495.2621
6,6,GA,85302.3148,71173.8331
6,7,random_valid,84429.2733,70189.0615
6,7,perimeter_only,84309.2387,69012.1935
6,7,popularity_rank,84287.5710,70358.2510
6,7,greedy_swap,84522.9946,70683.7555
6,7,oracle,84765.3486,72152.0973
6,7,random_search,85605.2236,71033.7905
6,7,simulated_annealing,85128.9999,71262.7479
6,7,GA,85828.1997,71052.3630
6,8,random_valid,84389.7730,70189.0615
