multiplier,search_seed,layout,replicate,mc_seed,revenue,cf_revenue
1,1,sa_k,22,1000022,787605.3780,786135.8376
1,1,sa_k,23,1000023,784221.4699,786135.8376
1,1,sa_k,24,1000024,784924.4192,786135.8376
1,1,sa_k,25,1000025,784257.9111,786135.8376
1,1,sa_k,26,1000026,784979.5044,786135.8376
1,1,sa_k,27,1000027,786733.5083,786135.8376
1,1,sa_k,28,1000028,787564.9364,786135.8376
1,1,sa_k,29,1000029,784742.8682,786135.8376
1,2,baseline,0,1000000,770561.2124,769612.7303
1,2,baseline,1,1000001,770380.0688,769612.7303
1,2,baseline,2,1000002,769530.2398,769612.7303
1,2,baseline,3,1000003,767274.1975,769612.7303
1,2,baseline,4,1000004,768885.9518,769612.7303
1,2,baseline,5,1000005,768225.7046,769612.7303
1,2,baseline,6,1000006,769513.9886,769612.7303
1,2,baseline,7,1000007,769425.5480,769612.7303
1,2,baseline,8,1000008,771405.8040,769612.7303
1,2,baseline,9,1000009,771196.5840,769612.7303
1,2,baseline,10,1000010,770346.8677,769612.7303
1,2,baseline,11,1000011,770497.9889,769612.7303
1,2,baseline,12,1000012,767038.1578,769612.7303
1,2,baseline,13,1000013,771448.0260,769612.7303
1,2,baseline,14,1000014,768706.2961,769612.7303
1,2,baseline,15,1000015,767540.7954,769612.7303
1,2,baseline,16,1000016,769062.4945,769612.7303
1,2,baseline,17,1000017,771641.9975,769612.7303
1,2,baseline,18,1000018,770721.0697,769612.7303
1,2,baseline,19,1000019,770123.7668,769612.7303
1,2,baseline,20,1000020,770594.2094,769612.7303
1,2,baseline,21,1000021,769989.2714,769612.7303
1,2,baseline,22,1000022,771025.3383,769612.7303
1,2,baseline,23,1000023,767732.1992,769612.7303
1,2,baseline,24,1000024,768412.2545,769612.7303
1,2,baseline,25,1000025,767752.3726,769612.7303
1,2,baseline,26,1000026,768435.6141,769612.7303
1,2,baseline,27,1000027,770195.9043,769612.7303
1,2,baseline,28,1000028,771020.0913,769612.7303
1,2,baseline,29,1000029,768244.7427,769612.7303
1,2,optimized,0,1000000,782701.1637,781751.4136
1,2,optimized,1,1000001,782578.7236,781751.4136
1,2,optimized,2,1000002,781629.3428,781751.4136
1,2,optimized,3,1000003,779397.3491,781751.4136
1,2,optimized,4,1000004,781020.3780,781751.4136
1,2,optimized,5,1000005,780362.3202,781751.4136
1,2,optimized,6,1000006,781606.1677,781751.4136
1,2,optimized,7,1000007,781589.1159,781751.4136
1,2,optimized,8,1000008,783578.6860,781751.4136
1,2,optimized,9,1000009,783311.7630,781751.4136
1,2,optimized,10,1000010,782521.9663,781751.4136
1,2,optimized,11,1000011,782645.8778,781751.4136
1,2,optimized,12,1000012,779123.1761,781751.4136
1,2,optimized,13,1000013,783606.0893,781751.4136
1,2,optimized,14,1000014,780832.7493,781751.4136
1,2,optimized,15,1000015,779579.2967,781751.4136
1,2,optimized,16,1000016,781188.0568,781751.4136
1,2,optimized,17,1000017,783827.8536,781751.4136
1,2,optimized,18,1000018,782869.4965,781751.4136
1,2,optimized,19,1000019,782258.6771,781751.4136
1,2,optimized,20,1000020,782743.8707,781751.4136
