scenario,seed,method,mc_revenue,cf_revenue,analytical_R
3,3,simulated_annealing_popstart,56370.7954,56380.7814,54339.2017
3,3,GA,56295.7893,56305.9028,54282.8346
3,4,random_valid,55929.3575,55909.2699,54409.5178
3,4,perimeter_only,55911.9657,55892.1342,54296.7357
3,4,popularity_rank,55849.4263,55829.1757,54522.1601
3,4,greedy_swap,56025.9415,56007.4227,54644.4111
3,4,oracle,56203.4152,56185.1986,55272.3212
3,4,random_search,56347.8843,56327.9340,54533.2178
3,4,simulated_annealing,56436.3449,56415.6889,54278.4563
3,4,simulated_annealing_popstart,56414.0818,56393.6823,54458.3278
3,4,GA,56434.9162,56414.3381,54519.2593
3,5,random_valid,55902.3076,55909.2699,54409.5178
3,5,perimeter_only,55885.3284,55892.1342,54296.7357
3,5,popularity_rank,55822.0996,55829.1757,54522.1601
3,5,greedy_swap,56001.0108,56007.4227,54644.4111
3,5,oracle,56178.8247,56185.1986,55272.3212
3,5,random_search,56261.2499,56266.9845,54462.8301
3,5,simulated_annealing,56406.6967,56412.5560,54525.9279
3,5,simulated_annealing_popstart,56397.2068,56403.1043,54337.1555
3,5,GA,56341.8410,56347.5528,54085.9752
3,6,random_valid,55923.2290,55909.2699,54409.5178
3,6,perimeter_only,55906.4767,55892.1342,54296.7357
3,6,popularity_rank,55842.6212,55829.1757,54522.1601
3,6,greedy_swap,56021.2128,56007.4227,54644.4111
3,6,oracle,56195.9025,56185.1986,55272.3212
3,6,random_search,56274.5450,56263.4334,54719.2531
3,6,simulated_annealing,56410.0987,56399.4929,54375.2621
3,6,simulated_annealing_popstart,56329.1032,56317.8277,54325.8062
3,6,GA,56570.9383,56557.2543,54144.1642
3,7,random_valid,55870.0544,55909.2699,54409.5178
3,7,perimeter_only,55853.1031,55892.1342,54296.7357
3,7,popularity_rank,55789.6627,55829.1757,54522.1601
3,7,greedy_swap,55966.0254,56007.4227,54644.4111
3,7,oracle,56143.9381,56185.1986,55272.3212
3,7,random_search,56219.8905,56261.5638,54391.6356
3,7,simulated_annealing,56348.6485,56391.2088,54384.2300
3,7,simulated_annealing_popstart,56259.7051,56301.0463,54392.9784
3,7,GA,56351.1947,56393.9757,54198.4435
3,8,random_valid,55953.2513,55909.2699,54409.5178
3,8,perimeter_only,55936.6071,55892.1342,54296.7357
3,8,popularity_rank,55873.8335,55829.1757,54522.1601
3,8,greedy_swap,56050.1333,56007.4227,54644.4111
3,8,oracle,56229.8624,56185.1986,55272.3212
3,8,random_search,56330.8735,56286.0812,54337.0801
3,8,simulated_annealing,56394.0327,56349.2237,54617.3751
3,8,simulated_annealing_popstart,56462.3716,56418.3573,54462.7777
3,8,GA,56435.3670,56391.5980,54198.8806
3,9,random_valid,55905.6295,55909.2699,54409.5178
3,9,perimeter_only,55888.7912,55892.1342,54296.7357
3,9,popularity_rank,55825.3100,55829.1757,54522.1601
3,9,greedy_swap,56003.5199,56007.4227,54644.4111
3,9,oracle,56181.1116,56185.1986,55272.3212
3,9,random_search,56284.7709,56288.8216,54456.0625
3,9,simulated_annealing,56550.3506,56554.3544,54324.9848
3,9,simulated_annealing_popstart,56344.4549,56347.5548,54528.4770
3,9,GA,56518.1221,56522.6703,54442.3722
4,0,random_valid,77206.5069,77265.0368,95349.1789
4,0,perimeter_only,77141.1081,77197.6281,94994.7309
4,0,popularity_rank,76912.9618,76968.2503,94535.0922
4,0,greedy_swap,77172.8065,77230.9555,95334.5896
4,0,oracle,77681.6042,77743.9991,96869.3571
4,0,random_search,77619.8575,77682.3670,95635.7612
4,0,simulated_annealing,78079.7842,78139.5672,96014.7595
4,0,simulated_annealing_popstart,78078.2034,78138.0069,95950.5416
4,0,GA,77951.3887,78011.1413,96255.3298
4,1,random_valid,77297.7291,77265.0368,95349.1789
4,1,perimeter_only,77230.8227,77197.6281,94994.7309
4,1,popularity_rank,77003.9973,76968.2503,94535.0922
4,1,greedy_swap,77263.4511,77230.9555,95334.5896
4,1,oracle,77775.9929,77743.9991,96869.3571
4,1,random_search,77812.3191,77779.5634,95188.4327
4,1,simulated_annealing,77974.9725,77942.2166,95527.4420
4,1,simulated_annealing_popstart,77938.0940,77905.0699,95017.5516
4,1,GA,78119.6452,78085.6885,95871.8081
4,2,random_valid,77235.1044,77265.0368,95349.1789
4,2,perimeter_only,77167.0789,77197.6281,94994.7309
4,2,popularity_rank,76937.9754,76968.2503,94535.0922
4,2,greedy_swap,77201.1094,77230.9555,95334.5896
4,2,oracle,77712.3581,77743.9991,96869.3571
4,2,random_search,77691.1856,77723.0677,94643.1466
4,2,simulated_annealing,78051.3556,78084.4995,95543.0225
4,2,simulated_annealing_popstart,78103.0549,78135.7115,96001.1583
4,2,GA,78075.2080,78107.7685,95992.5405
4,3,random_valid,77238.6879,77265.0368,95349.1789
4,3,perimeter_only,77170.9463,77197.6281,94994.7309
4,3,popularity_rank,76942.0771,76968.2503,94535.0922
4,3,greedy_swap,77204.1772,77230.9555,95334.5896
4,3,oracle,77721.2513,77743.9991,96869.3571
4,3,random_search,77612.1984,77636.6021,95876.2349
4,3,simulated_annealing,77996.2073,78020.7151,95819.7025
4,3,simulated_annealing_popstart,77950.6854,77975.1165,95823.8867
4,3,GA,78029.0687,78053.5562,95658.1087
4,4,random_valid,77315.6500,77265.0368,95349.1789
4,4,perimeter_only,77248.2863,77197.6281,94994.7309
4,4,popularity_rank,77021.5937,76968.2503,94535.0922
4,4,greedy_swap,77281.6725,77230.9555,95334.5896
4,4,oracle,77793.8810,77743.9991,96869.3571
4,4,random_search,77660.6245,77611.4719,94609.7506
4,4,simulated_annealing,78175.6852,78125.5246,96135.5615
4,4,simulated_annealing_popstart,78125.4851,78075.8469,96192.9754
4,4,GA,78138.6597,78088.9344,96077.2676
4,5,random_valid,77255.9779,77265.0368,95349.1789
4,5,perimeter_only,77185.2873,77197.6281,94994.7309
4,5,popularity_rank,76959.0007,76968.2503,94535.0922
4,5,greedy_swap,77222.0853,77230.9555,95334.5896
4,5,oracle,77733.5538,77743.9991,96869.3571
4,5,random_search,77673.4834,77684.0292,94748.7702
4,5,simulated_annealing,77873.6698,77883.0309,94810.0896
4,5,simulated_annealing_popstart,77769.4272,77779.2671,95906.9613
4,5,GA,77994.7378,78004.1718,95715.1981
4,6,random_valid,77342.9951,77265.0368,95349.1789
4,6,perimeter_only,77274.2864,77197.6281,94994.7309
4,6,popularity_rank,77045.0579,76968.2503,94535.0922
4,6,greedy_swap,77308.8485,77230.9555,95334.5896
4,6,oracle,77822.5444,77743.9991,96869.3571
4,6,random_search,77819.0508,77740.8341,94756.0558
4,6,simulated_annealing,78080.9388,78002.6449,95285.6468
4,6,simulated_annealing_popstart,78031.1753,77952.4109,95675.7711
4,6,GA,78121.4349,78042.6679,95901.5787
4,7,random_valid,77234.1683,77265.0368,95349.1789
4,7,perimeter_only,77165.8133,77197.6281,94994.7309
4,7,popularity_rank,76937.2613,76968.2503,94535.0922
4,7,greedy_swap,77200.4634,77230.9555,95334.5896
4,7,oracle,77712.3731,77743.9991,96869.3571
4,7,random_search,77630.8924,77662.1231,94727.2469
4,7,simulated_annealing,78102.1746,78134.1403,96080.0887
4,7,simulated_annealing_popstart,78021.4633,78053.2708,95545.9126
4,7,GA,78069.2884,78100.7544,96028.2301
4,8,random_valid,77132.9766,77265.0368,95349.1789
4,8,perimeter_only,77065.2218,77197.6281,94994.7309
4,8,popularity_rank,76832.9965,76968.2503,94535.0922
4,8,greedy_swap,77098.7641,77230.9555,95334.5896
