search_seed,replicate,mc_seed,baseline_revenue,optimized_revenue,diff,rs_revenue,sa_revenue,diff_rs,diff_sa
5,28,1000028,1031936.5005,1048082.6436,16146.1431,1044365.2529,1046476.0132,3717.3907,1606.6303
5,29,1000029,1027375.2763,1043487.9407,16112.6644,1039831.2339,1041912.3837,3656.7068,1575.5570
6,0,1000000,1030251.3003,1047203.1270,16951.8267,1041470.5099,1046829.2367,5732.6170,373.8902
6,1,1000001,1029829.6858,1046806.6095,16976.9238,1041103.6178,1046433.4977,5702.9917,373.1119
6,2,1000002,1028655.3877,1045634.2836,16978.8960,1039951.2922,1045271.7143,5682.9914,362.5694
6,3,1000003,1026160.8872,1043077.3429,16916.4557,1037405.8130,1042720.0751,5671.5299,357.2678
6,4,1000004,1027609.5291,1044560.8731,16951.3440,1038885.0948,1044196.0240,5675.7783,364.8491
6,5,1000005,1026960.4493,1043900.4958,16940.0465,1038208.6146,1043538.0633,5691.8812,362.4325
6,6,1000006,1029037.9274,1045974.4961,16936.5687,1040229.0965,1045588.5713,5745.3996,385.9248
6,7,1000007,1029353.4805,1046317.9111,16964.4306,1040572.2429,1045950.8514,5745.6682,367.0597
6,8,1000008,1031743.2567,1048687.6414,16944.3847,1042970.0462,1048313.6116,5717.5952,374.0298
6,9,1000009,1031577.8318,1048523.6279,16945.7960,1042802.0849,1048147.0652,5721.5430,376.5627
6,10,1000010,1030826.4140,1047782.0492,16955.6352,1042080.8939,1047427.9995,5701.1553,354.0498
6,11,1000011,1030820.4158,1047768.8866,16948.4709,1042010.2934,1047392.7719,5758.5933,376.1147
6,12,1000012,1025577.5806,1042479.3993,16901.8187,1036792.9228,1042106.2220,5686.4765,373.1772
6,13,1000013,1032616.0743,1049605.9773,16989.9030,1043864.8897,1049237.0945,5741.0876,368.8828
6,14,1000014,1028007.2935,1044928.3959,16921.1024,1039206.8139,1044552.5388,5721.5820,375.8572
6,15,1000015,1026914.6226,1043784.5717,16869.9491,1038091.2303,1043421.3597,5693.3413,363.2119
6,16,1000016,1028950.6087,1045853.6469,16903.0382,1040208.0322,1045489.6448,5645.6146,364.0021
6,17,1000017,1031942.7357,1048890.8795,16948.1438,1043147.2264,1048523.3787,5743.6531,367.5008
6,18,1000018,1031085.6288,1047993.0764,16907.4476,1042336.9494,1047617.7919,5656.1271,375.2845
6,19,1000019,1029896.2402,1046877.2220,16980.9818,1041153.0125,1046494.6624,5724.2095,382.5596
6,20,1000020,1030522.7061,1047475.7407,16953.0346,1041708.7250,1047082.4192,5767.0158,393.3215
6,21,1000021,1029935.2785,1046895.6194,16960.3409,1041155.7162,1046525.4982,5739.9032,370.1212
6,22,1000022,1031880.2991,1048797.7965,16917.4975,1043065.0655,1048420.1483,5732.7310,377.6482
6,23,1000023,1027341.8705,1044212.7172,16870.8467,1038581.3213,1043852.3703,5631.3958,360.3468
6,24,1000024,1027873.9960,1044834.7577,16960.7617,1039049.2354,1044461.2869,5785.5223,373.4708
6,25,1000025,1026574.0949,1043524.2730,16950.1781,1037804.3390,1043162.6946,5719.9340,361.5783
6,26,1000026,1027544.5125,1044477.7053,16933.1927,1038791.8877,1044104.0591,5685.8176,373.6462
6,27,1000027,1030310.6289,1047253.2081,16942.5792,1041580.7700,1046884.8058,5672.4381,368.4023
6,28,1000028,1031936.5005,1048920.7456,16984.2451,1043183.3304,1048542.4992,5737.4152,378.2463
6,29,1000029,1027375.2763,1044302.6036,16927.3272,1038651.6507,1043937.7784,5650.9528,364.8252
7,0,1000000,1030251.3003,1049326.6640,19075.3637,1043033.9282,1039746.9041,6292.7358,9579.7599
7,1,1000001,1029829.6858,1048964.0651,19134.3794,1042654.4220,1039324.5658,6309.6432,9639.4993
7,2,1000002,1028655.3877,1047785.1133,19129.7256,1041481.9894,1038223.0159,6303.1239,9562.0974
7,3,1000003,1026160.8872,1045220.7965,19059.9093,1038917.5853,1035691.9686,6303.2113,9528.8279
7,4,1000004,1027609.5291,1046727.6570,19118.1279,1040425.0647,1037155.7000,6302.5922,9571.9570
7,5,1000005,1026960.4493,1046051.6482,19091.1988,1039739.0677,1036492.7755,6312.5805,9558.8726
7,6,1000006,1029037.9274,1048086.1485,19048.2211,1041761.4306,1038530.0768,6324.7179,9556.0717
7,7,1000007,1029353.4805,1048478.1907,19124.7102,1042113.8073,1038857.0201,6364.3834,9621.1706
7,8,1000008,1031743.2567,1050843.9758,19100.7191,1044513.6603,1041236.2603,6330.3155,9607.7155
7,9,1000009,1031577.8318,1050635.9110,19058.0791,1044340.3051,1041097.5842,6295.6059,9538.3268
7,10,1000010,1030826.4140,1049941.1610,19114.7470,1043609.7977,1040334.1476,6331.3633,9607.0134
7,11,1000011,1030820.4158,1049903.2052,19082.7895,1043534.4581,1040298.8448,6368.7472,9604.3604
7,12,1000012,1025577.5806,1044635.1792,19057.5987,1038333.2907,1035076.2572,6301.8885,9558.9220
7,13,1000013,1032616.0743,1051769.1146,19153.0403,1045397.0380,1042134.0388,6372.0766,9635.0758
7,14,1000014,1028007.2935,1047084.6220,19077.3285,1040740.5217,1037500.9766,6344.1003,9583.6454
7,15,1000015,1026914.6226,1045938.4671,19023.8445,1039629.2612,1036389.2778,6309.2059,9549.1893
7,16,1000016,1028950.6087,1048027.9428,19077.3341,1041732.1921,1038504.5221,6295.7507,9523.4207
7,17,1000017,1031942.7357,1051060.9236,19118.1880,1044691.1050,1041447.6614,6369.8187,9613.2623
7,18,1000018,1031085.6288,1050147.2927,19061.6639,1043878.8457,1040614.0748,6268.4471,9533.2179
7,19,1000019,1029896.2402,1049056.9548,19160.7147,1042694.3415,1039453.9628,6362.6134,9602.9921
7,20,1000020,1030522.7061,1049607.6081,19084.9019,1043263.0621,1039972.0106,6344.5459,9635.5975
7,21,1000021,1029935.2785,1049054.6270,19119.3485,1042704.4964,1039435.8242,6350.1306,9618.8028
7,22,1000022,1031880.2991,1050983.7329,19103.4339,1044572.0593,1041348.4374,6411.6736,9635.2955
7,23,1000023,1027341.8705,1046395.3661,19053.4956,1040098.1836,1036859.5513,6297.1824,9535.8148
7,24,1000024,1027873.9960,1046967.8163,19093.8202,1040622.3885,1037319.1542,6345.4277,9648.6620
