replicate,n_invoices,n_absent_fixtures,anchor_score,stocked_invoice_share,whole_level_asbuilt,whole_level_ga,whole_level_rs,whole_level_sa,whole_lift,whole_pct_lift,stocked_level_asbuilt,stocked_level_ga,stocked_level_rs,stocked_level_sa,stocked_lift,stocked_pct_lift,whole_ga_minus_rs_gbp,whole_ga_minus_rs_pct,whole_ga_minus_sa_gbp,whole_ga_minus_sa_pct,stocked_ga_minus_rs_gbp,stocked_ga_minus_rs_pct,stocked_ga_minus_sa_gbp,stocked_ga_minus_sa_pct
38,38455,0,0.4256076650,0.792121,726707.490379,736932.342005,735896.563921,734290.796318,10224.851627,1.407011,16526.542480,16759.072689,16735.517365,16698.999527,232.530209,1.407011,1035.778084,0.140750,2641.545687,0.359741,23.555324,0.140750,60.073162,0.359741
39,38064,0,0.4254075697,0.793322,729503.235930,739832.327633,738497.813361,737153.778486,10329.091703,1.415908,16552.464825,16786.832431,16756.552236,16726.056017,234.367606,1.415908,1334.514272,0.180707,2678.549147,0.363364,30.280195,0.180707,60.776414,0.363364
40,41289,0,0.4401383301,0.798590,831096.831018,846067.362141,842858.343241,841861.398270,14970.531122,1.801298,17543.119718,17859.123594,17791.386357,17770.342450,316.003876,1.801298,3209.018900,0.380731,4205.963871,0.499603,67.737237,0.380731,88.781144,0.499603
41,39782,0,0.4396233903,0.799784,760385.635463,774087.225343,771928.057345,770471.644050,13701.589880,1.801926,17565.421926,17881.937909,17832.059670,17798.415539,316.515984,1.801926,2159.167997,0.279711,3615.581293,0.469269,49.878240,0.279711,83.522371,0.469269
42,39053,0,0.4359366457,0.789645,817145.010973,833154.331438,830650.302125,828660.946212,16009.320465,1.959177,16659.552190,16985.942374,16934.891451,16894.333437,326.390183,1.959177,2504.029313,0.301454,4493.385226,0.542247,51.050923,0.301454,91.608937,0.542247
43,38182,0,0.4238062911,0.795741,696947.426977,706923.378473,705889.058187,704731.534846,9975.951496,1.431378,16439.679745,16674.993689,16650.596017,16623.292217,235.313944,1.431378,1034.320287,0.146527,2191.843627,0.311018,24.397671,0.146527,51.701471,0.311018
44,39209,0,0.4391982866,0.799204,729413.524337,742541.062834,739613.798949,739356.884673,13127.538497,1.799739,16905.240945,17209.491132,17141.647447,17135.693078,304.250187,1.799739,2927.263885,0.395783,3184.178161,0.430669,67.843685,0.395783,73.798054,0.430669
45,40070,0,0.4307969631,0.798727,745577.340661,758583.647608,760353.708709,752360.021936,13006.306947,1.744461,17514.028796,17819.554221,17861.133947,17673.357773,305.525426,1.744461,-1770.061101,-0.232794,6223.625672,0.827214,-41.579725,-0.232794,146.196448,0.827214
46,39836,0,0.4398293835,0.796089,797035.320278,810613.486844,808439.241575,806983.198409,13578.166566,1.703584,17365.631385,17661.469511,17614.097530,17582.373580,295.838126,1.703584,2174.245269,0.268944,3630.288435,0.449859,47.371981,0.268944,79.095931,0.449859
47,36849,0,0.4385880779,0.804201,725107.678323,738452.799136,735229.160002,734662.909043,13345.120813,1.840433,16409.255915,16711.257272,16638.306010,16625.491697,302.001357,1.840433,3223.639134,0.438454,3789.890094,0.515868,72.951261,0.438454,85.765574,0.515868
48,40031,0,0.4370381947,0.794784,756622.877793,770410.734699,768322.121492,767035.052946,13787.856906,1.822289,17053.215019,17363.973913,17316.899510,17287.890796,310.758894,1.822289,2088.613207,0.271841,3375.681753,0.440095,47.074403,0.271841,76.083117,0.440095
49,40096,0,0.4378414568,0.795591,835605.676065,851108.682240,847595.308397,846761.212925,15503.006175,1.855302,17442.096557,17765.700068,17692.363316,17674.952743,323.603511,1.855302,3513.373844,0.414511,4347.469316,0.513423,73.336752,0.414511,90.747325,0.513423
50,40303,0,0.4407300979,0.791901,840910.562273,855318.701432,852358.968020,851518.697539,14408.139159,1.713397,17044.544268,17336.585035,17276.593748,17259.562177,292.040767,1.713397,2959.733412,0.347240,3800.003893,0.446262,59.991287,0.347240,77.022858,0.446262
51,40167,0,0.4415586569,0.801653,747246.696528,760296.223013,757952.190941,756570.247770,13049.526486,1.746348,17743.407781,18053.269398,17997.610247,17964.795942,309.861617,1.746348,2344.032072,0.309259,3725.975243,0.492482,55.659151,0.309259,88.473457,0.492482
52,39805,0,0.4371784589,0.788645,772664.090841,786924.280530,784703.411329,783406.350102,14260.189689,1.845587,16912.921087,17225.063797,17176.450970,17148.059468,312.142710,1.845587,2220.869201,0.283020,3517.930428,0.449056,48.612827,0.283020,77.004329,0.449056
53,36924,0,0.4355446290,0.800211,678690.581386,690623.998256,691245.525623,688364.069265,11933.416871,1.758300,16102.848517,16385.984912,16400.731486,16332.365051,283.136394,1.758300,-621.527366,-0.089914,2259.928991,0.328304,-14.746574,-0.089914,53.619860,0.328304
54,38991,0,0.4234268424,0.792029,756906.638266,767763.025679,766405.573952,765625.339071,10856.387413,1.434310,16622.604533,16861.024208,16831.212892,16814.077971,238.419675,1.434310,1357.451727,0.177119,2137.686608,0.279208,29.811316,0.177119,46.946238,0.279208
55,39203,0,0.4379046513,0.795934,769567.688826,783430.791193,781687.933207,779572.749695,13863.102367,1.801414,17095.168134,17403.122936,17364.407108,17317.420445,307.954803,1.801414,1742.857986,0.222961,3858.041499,0.494892,38.715828,0.222961,85.702491,0.494892
56,40030,0,0.4370829657,0.795129,827759.705389,843167.154953,840414.507642,839327.798894,15407.449563,1.861343,17298.073630,17620.050159,17562.526828,17539.817377,321.976529,1.861343,2752.647310,0.327534,3839.356059,0.457432,57.523331,0.327534,80.232782,0.457432
